ts	phase	decision	why	evidence	result
2026-09-24T03:03:18Z	architecture	selected one immutable PinnedRun aggregate instead of event payload expansion or normalized graph tables	keeps governance rules in one boundary and prevents mutable replay	backend/app/run_plans.py	backend domain implemented
2026-09-24T03:03:18Z	iteration-1	implemented freeze, package validation, study-type resolution, graph fingerprints, persistence, and workspace projection	each capability is checked through one aggregate before UI work	backend/app/run_plans.py; uv run pytest -q	16 passed, 1 stale expectation
2026-09-24T03:06:09Z	iteration-2	replaced the stale mutable-pin test and added acceptance-focused run-plan coverage	the immutable design should be proven rather than weakened for an old expectation	backend/tests/test_run_plans.py; backend/tests/test_section_runs.py	30 backend tests pass
2026-09-24T03:06:09Z	workspace	exposed full Run Plan and governed identities in one expandable panel	users need exact identity while section agents still receive narrow envelopes	frontend/src/components/StudyJourney.tsx; npm run typecheck	typecheck passes
2026-09-24T03:07:55Z	iteration-3	ran the existing isolated browser harness through validation, Run Plan inspection, review, approvals, and export	compile checks are not enough for a workspace feature	scripts/verify-live.sh; evidence/helix-run-plan.png	Playwright 1 passed, live Codex test skipped by its existing flag
2026-09-24T03:12:36Z	iteration-4	moved the full Pinned Run aggregate into StudyEvidencePackage and kept the table as an idempotency index	the issue assigns full-plan ownership to StudyEvidencePackage	backend/app/schemas.py; backend/app/models.py; backend/tests/test_run_plans.py	30 backend tests pass
2026-09-24T03:16:53Z	final-verification	ran backend lint and 30 tests, frontend typecheck and production build, and isolated Playwright browser flow	the exit predicate requires direct proof from the API and workspace	backend/tests; scripts/verify-live.sh; evidence/helix-run-plan.png	all deterministic checks pass, browser flow passes, live Codex test remains opt-in and skipped
2026-09-24T03:19:21Z	qualification	bound the passed qualification receipt to the exact Promptfoo suite bytes	a changed suite must invalidate package qualification before planning	shasum -a 256 .agents/skills/helix-section-agent/evals/promptfooconfig.yaml	hash matches package qualification_hash
2026-09-24T03:21:13Z	delivery	pushed commit cde776a, opened PR 16, posted acceptance and verification comments, and summarized issue 2	the requested GitHub artifacts complete the autonomous exit predicate	https://github.com/Steven-Espaillat/Helix/pull/16; https://github.com/Steven-Espaillat/Helix/issues/2#issuecomment-5806895674	PR open and mergeable with no configured checks
2026-09-24T03:21:13Z	review	reviewed the trail with Claude Sonnet and assessed six flags	one qualification-evidence gap was fixed in the trail; the other flags were covered tests, intended immutable-run behavior, or fixture-specific proof	.audit/issue-2.tsv; backend/tests/test_run_plans.py; backend/tests/test_section_runs.py	no unresolved correctness flags
