ts	phase	decision	why	evidence	result
2026-09-22T12:26:59Z	frame	set a runnable end-to-end completion predicate	regulatory workflow claims need browser and API evidence, not a static mock	parent task, Phase A framing checkpoint	open
2026-09-22T12:26:59Z	grounding	kept the existing StudyEvidencePackage as the canonical aggregate	the supplied generator and verifier already encode 1,662 records, provenance, blockers, and release state	skills/helix-evidence-pipeline/references/schema.md, synthetic-e2e/helix-synthetic-bundle.json	VERIFIED
2026-09-22T12:26:59Z	grounding	treated the prior HTML as interaction intent rather than production data	its displayed 263.8 g conflicts with the verified synthetic bundle value of 286.2 g	/Users/steven.espaillat/.codex/visualizations/2026/09/22/01a0c734-6f1e-7a50-9285-6802b0196bc1/helix-prototypes/helix-e2e-workbench.html, node skills/helix-evidence-pipeline/scripts/verify-synthetic-bundle.mjs	VERIFIED
2026-09-22T12:38:30Z	research	based the report schema on required content rather than a claimed FDA document template	21 CFR 58.185 defines final-report contents, OECD TG 407 adds study endpoints, and ICH M4S defines dossier placement	docs/research/fda-nonclinical-reporting.md	VERIFIED
2026-09-22T12:38:30Z	architecture	selected a versioned JSONB StudyEvidencePackage with append-only event tables	it preserves the supplied aggregate and keeps the prototype smaller than a fully normalized or event-sourced design	docs/architecture/helix-prototype.md	VERIFIED
2026-09-22T12:38:30Z	architecture	kept LLM output to allowlisted check proposals	deterministic tools must own calculations, severities, and pass or fail results	docs/architecture/helix-prototype.md#hybrid-validation-contract	VERIFIED
2026-09-22T12:44:30Z	foundation	added a typed aggregate, PostgreSQL JSONB model, append-only event tables, and idempotent seed	every later phase now starts from a validated 1,662-record package	cd backend && uv run pytest tests/test_seed.py	VERIFIED
2026-09-22T13:30:01Z	backend	implemented typed API commands, structured regulatory template, deterministic rules, constrained planner tools, reviews, approvals, and idempotent export	the server owns all release state and keeps LLM output outside authoritative calculations	cd backend && uv run pytest	VERIFIED
2026-09-22T14:24:28Z	frontend	rebuilt the static workbench as three live Next.js views backed only by API state	scientists can now inspect source rows and report rules before recording review decisions	./scripts/verify-live.sh, evidence/helix-workbench-initial.png, evidence/helix-workbench-exported.png	VERIFIED
2026-09-22T14:24:28Z	verification	ran the full release flow in Chrome against a fresh isolated database	the real interface had to move from blocked through validation, evidence review, dispositions, approvals, and export	./scripts/verify-live.sh	VERIFIED
2026-09-22T14:24:29Z	verification	ran the complete API flow against PostgreSQL 16 JSONB storage	SQLite is only the test adapter; the product database path needed direct proof	./scripts/verify-postgres.sh	VERIFIED
2026-09-22T14:55:11Z	export	generated deterministic downloadable PDF, ZIP, and XML artifacts with checksums over exact bytes	an export receipt without retrievable content would not be an end-to-end report workflow	backend/tests/test_api.py, frontend/tests/workbench.spec.ts, ./scripts/verify-postgres.sh	VERIFIED
2026-09-22T15:19:04Z	frame	closed the runnable end-to-end completion predicate	production Next.js, FastAPI commands, PostgreSQL JSONB, stored export bytes, browser flow, and checksum verification now pass together	make test; ./scripts/verify-live.sh; ./scripts/verify-postgres.sh	VERIFIED
2026-09-22T15:19:04Z	review	reviewed implementation against the supplied spec and removed misleading or dead paths	the final prototype must distinguish fixture from LLM use, illustrative data files from SEND, and exported state from mutable drafts	backend/tests; frontend/tests/workbench.spec.ts; README.md; docs/architecture/helix-prototype.md	VERIFIED
2026-09-22T15:36:13Z	export	froze four exact artifact payloads in the database and bundled lineage plus workflow audit records	checksums must continue to resolve to the original exported bytes after process restarts or code changes	backend/app/models.py, backend/app/artifacts.py, file /tmp/repeat-dose-study-report.pdf, unzip -t /tmp/send-dataset-package.zip	VERIFIED
2026-09-22T15:36:13Z	frontend	exposed the ten authorized checksummed inputs in the live study journey	the source authorization boundary needed inspectable evidence rather than a count alone	evidence/helix-source-manifest.png, frontend/tests/workbench.spec.ts	VERIFIED
2026-09-22T15:55:01Z	verification	passed the final static, production-browser, and PostgreSQL gates	the final state includes strict bundle verification, six backend tests, a production Next.js build, a Chromium workflow, persisted export bytes, and PostgreSQL JSONB	make test; ./scripts/verify-live.sh; ./scripts/verify-postgres.sh	VERIFIED
2026-09-22T16:00:34Z	verification	verified immutable export storage as PostgreSQL bytea	the product path must preserve exact downloadable bytes rather than only metadata	./scripts/verify-postgres.sh returned json_type=jsonb, export_type=bytea, export_files=4	VERIFIED
