source	kind	issues	proof
DEMO-001	requirement	#33,#34	Playwright golden-path and exported-artifact assertions.
DEMO-002	requirement	#29,#34	Playwright golden-path and exported-artifact assertions.
DEMO-003	requirement	#29,#34	Playwright golden-path and exported-artifact assertions.
DEMO-004	requirement	#29,#34	Playwright golden-path and exported-artifact assertions.
DEMO-005	requirement	#31,#32,#34	Playwright golden-path and exported-artifact assertions.
DEMO-006	requirement	#32,#34	Playwright golden-path and exported-artifact assertions.
DEMO-007	requirement	#32,#34	Playwright golden-path and exported-artifact assertions.
DEMO-008	requirement	#32,#34	Playwright golden-path and exported-artifact assertions.
DEMO-009	requirement	#32,#33,#34	Playwright golden-path and exported-artifact assertions.
DEMO-010	requirement	#34	Playwright golden-path and exported-artifact assertions.
AUTH-001	requirement	#30,#32,#34	API authority tests and visible authority labels.
AUTH-002	requirement	#29,#30,#32,#34	API authority tests and visible authority labels.
AUTH-003	requirement	#29,#31,#32,#34	API authority tests and visible authority labels.
AUTH-004	requirement	#31,#32,#34	API authority tests and visible authority labels.
AUTH-005	requirement	#30,#32,#34	API authority tests and visible authority labels.
AUTH-006	requirement	#30,#32,#34	API authority tests and visible authority labels.
AUTH-007	requirement	#29,#34	API authority tests and visible authority labels.
AUTH-008	requirement	#29,#34	API authority tests and visible authority labels.
AUTH-009	requirement	#33,#34	API authority tests and visible authority labels.
TRACE-001	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-002	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-003	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-004	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-005	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-006	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-007	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-008	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-009	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-010	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-011	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
TRACE-012	requirement	#30,#34	Step Receipt, artifact lookup, replay, and hash-validation assertions.
EVAL-001	requirement	#31,#34	Qualification and study-output Evaluation Artifact tests.
EVAL-002	requirement	#31,#34	Qualification and study-output Evaluation Artifact tests.
EVAL-003	requirement	#31,#34	Qualification and study-output Evaluation Artifact tests.
